# deptree-resolver-260428d — Top 100 BLOCKED by dependency-tree priority
# Generated: 2026-04-28T09:37:23.584305+00:00

  1. texlive-installer (blocked_deps=0, reverse_deps=10, total_deps=2, fail=DISTRO_SPECIFIC)
  2. glfw-wayland-minecraft-cursorfix (blocked_deps=0, reverse_deps=10, total_deps=14, fail=)
  3. electron37-bin (blocked_deps=0, reverse_deps=8, total_deps=3, fail=)
  4. dotnet-sdk-8.0-bin (blocked_deps=0, reverse_deps=7, total_deps=5, fail=COMPLEX_DEPS)
  5. dotnet-runtime-bin (blocked_deps=0, reverse_deps=6, total_deps=7, fail=)
  6. electron23-bin (blocked_deps=0, reverse_deps=4, total_deps=3, fail=)
  7. aspnet-runtime-8.0-bin (blocked_deps=0, reverse_deps=2, total_deps=1, fail=COMPLEX_DEPS)
  8. mingw-w64-mpg123 (blocked_deps=0, reverse_deps=2, total_deps=2, fail=MINGW_CROSS_COMPILATION)
  9. qtforkawesome (blocked_deps=0, reverse_deps=2, total_deps=6, fail=)
 10. lib32-libdav1d (blocked_deps=0, reverse_deps=2, total_deps=9, fail=MULTILIB_UNSUPPORTED)
 11. docker-desktop (blocked_deps=0, reverse_deps=2, total_deps=11, fail=PROPRIETARY_BINARY)
 12. rar (blocked_deps=0, reverse_deps=1, total_deps=1, fail=PROPRIETARY_BINARY)
 13. ut2004-data-steam (blocked_deps=0, reverse_deps=1, total_deps=1, fail=PROPRIETARY_BINARY)
 14. rockchip-mpp (blocked_deps=0, reverse_deps=1, total_deps=3, fail=)
 15. samsung-unified-driver-printer (blocked_deps=0, reverse_deps=1, total_deps=3, fail=PROPRIETARY_BINARY)
 16. samsung-unified-driver-scanner (blocked_deps=0, reverse_deps=1, total_deps=4, fail=PROPRIETARY_BINARY)
 17. lib32-libvmaf (blocked_deps=0, reverse_deps=1, total_deps=5, fail=MULTILIB_UNSUPPORTED)
 18. python-jaxlib-bin (blocked_deps=0, reverse_deps=1, total_deps=5, fail=SOURCE_UNAVAILABLE)
 19. python2-dbus (blocked_deps=0, reverse_deps=1, total_deps=5, fail=LEGACY_PYTHON2)
 20. firefox-nightly-bin (blocked_deps=0, reverse_deps=1, total_deps=6, fail=)
 21. glew1.10 (blocked_deps=0, reverse_deps=1, total_deps=6, fail=)
 22. kemoticons (blocked_deps=0, reverse_deps=1, total_deps=6, fail=COMPLEX_DEPS)
 23. lib32-nvidia-utils-beta (blocked_deps=0, reverse_deps=1, total_deps=8, fail=MULTILIB_UNSUPPORTED)
 24. python-pylink-square (blocked_deps=0, reverse_deps=1, total_deps=9, fail=PROPRIETARY_BINARY)
 25. qpdf-zopfli (blocked_deps=0, reverse_deps=1, total_deps=9, fail=)
 26. python-opentelemetry-exporter-otlp-proto-http (blocked_deps=0, reverse_deps=1, total_deps=11, fail=)
 27. python-opentelemetry-exporter-otlp-proto-grpc (blocked_deps=0, reverse_deps=1, total_deps=12, fail=)
 28. amneziawg-dkms-git:deptree-resolver-260425c (blocked_deps=0, reverse_deps=0, total_deps=0, fail=DKMS_KERNEL_MODULE)
 29. anbox-git (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 30. anyrun-git:deptree-resolver-260424t: (blocked_deps=0, reverse_deps=0, total_deps=0, fail=COMPLEX_DEPS)
 31. aquacomputer_d5next-hwmon-dkms:deptree-resolver-260425c (blocked_deps=0, reverse_deps=0, total_deps=0, fail=DKMS_KERNEL_MODULE)
 32. archwiki-offline:deptree-resolver-260425c (blocked_deps=0, reverse_deps=0, total_deps=0, fail=DISTRO_SPECIFIC)
 33. audiobookshelf (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 34. base-selinux:deptree-resolver-260425c (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SELINUX_SPECIFIC)
 35. boost-python2:deptree-resolver-260424o (blocked_deps=0, reverse_deps=0, total_deps=0, fail=LEGACY_PYTHON2)
 36. bulky (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 37. chkufsd-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 38. chromium-extension-arch-search:deptree-resolver-260424t (blocked_deps=0, reverse_deps=0, total_deps=0, fail=DISTRO_SPECIFIC)
 39. chromium-gost (blocked_deps=0, reverse_deps=0, total_deps=0, fail=COMPLEX_DEPS)
 40. codex-desktop-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 41. coreutils-arch:deptree-resolver-260426i:deptree-resolver-260426j: (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 42. cursor-ide (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 43. cursor-ide-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 44. dae-kix-git (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 45. dbeaver (blocked_deps=0, reverse_deps=0, total_deps=0, fail=COMPLEX_DEPS)
 46. deadbeef-mpris2-plugin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=ABANDONED_UPSTREAM)
 47. dms-shell (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 48. dotnet-targeting-pack-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 49. dracut-nosystemd-git (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 50. e2-studio-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 51. edk2-ovmf-fedora (blocked_deps=0, reverse_deps=0, total_deps=0, fail=DISTRO_SPECIFIC)
 52. elp (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 53. epsonscan2-non-free-plugin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 54. fahviewer (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 55. fcitx5-meta (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 56. feishu (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 57. firedragon-alpha-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 58. fluxdown-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 59. foundryvtt (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 60. gama-platform-jdk (blocked_deps=0, reverse_deps=0, total_deps=0, fail=COMPLEX_DEPS)
 61. glazepkg-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 62. gradience:deptree-resolver-260425c: (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 63. grafana-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 64. gram (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 65. gram-editor-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 66. gram-editor-git (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 67. hbuilderx-alpha-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 68. hdfview-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 69. heptabase-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 70. httptoolkit-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 71. hubstaff (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 72. hylauncher-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 73. hypnotix (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 74. jai (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 75. joplin-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 76. justevery-code-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 77. komodo-periphery-git (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 78. konform-multi-account-containers-lite (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 79. krux-installer-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 80. lib32-sdl_sound:deptree-resolver-260424o (blocked_deps=0, reverse_deps=0, total_deps=0, fail=MULTILIB_UNSUPPORTED)
 81. linux-gpib:deptree-resolver-260424o: (blocked_deps=0, reverse_deps=0, total_deps=0, fail=DKMS_KERNEL_MODULE)
 82. linux6.19.8.arch1-1-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 83. linux6.19.8.arch1-1-docs-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 84. linux6.19.8.arch1-1-headers-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 85. linux6.19.9.arch1-1-docs-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 86. linux6.19.9.arch1-1-headers-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 87. linux6.19.9.zen1-1-zen-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 88. linux6.19.9.zen1-1-zen-headers-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 89. llama.cpp-aio (blocked_deps=0, reverse_deps=0, total_deps=0, fail=COMPLEX_DEPS)
 90. luniistore:recipe-resolver-260425b:recipe-generated: (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 91. mangowc-git (blocked_deps=0, reverse_deps=0, total_deps=0, fail=SOURCE_UNAVAILABLE)
 92. max-appimage (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 93. mercury-browser-sse4-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 94. miniconda3 (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 95. navicat17-premium-en (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 96. neovim-lspconfig-opt-git (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 97. nextcloud-talk-desktop-bin (blocked_deps=0, reverse_deps=0, total_deps=0, fail=)
 98. ninjarmm-ncplayer (blocked_deps=0, reverse_deps=0, total_deps=0, fail=PROPRIETARY_BINARY)
 99. nvidia-open-tinygrad-dkms-git:deptree-resolver-260425c:deptree-resolver-260425g::deptree-resolver-260425h (blocked_deps=0, reverse_deps=0, total_deps=0, fail=DKMS_KERNEL_MODULE)
100. nvidia-vulkan-dkms (blocked_deps=0, reverse_deps=0, total_deps=0, fail=DKMS_KERNEL_MODULE)
