num	name	result	base_or_reason
3103	mouse-actions-gui-bin	BLOCKED	NEEDS_RECIPE_DESIGN
3104	telepresence2-bin	BLOCKED	NEEDS_RECIPE_DESIGN
3106	plasma-settings	BLOCKED	NEEDS_RECIPE_DESIGN
3107	archivebox	BLOCKED	NEEDS_RECIPE_DESIGN
3108	ffsend-bin	BLOCKED	NEEDS_RECIPE_DESIGN
3109	lswt	BLOCKED	NEEDS_RECIPE_DESIGN
3110	nemu	BLOCKED	NEEDS_RECIPE_DESIGN
3111	endcord	BLOCKED	NEEDS_RECIPE_DESIGN
3112	podman-tui	BLOCKED	NEEDS_RECIPE_DESIGN
3113	python-soco	BLOCKED	NEEDS_RECIPE_DESIGN
3114	dingtalk-bin	BLOCKED	NEEDS_RECIPE_DESIGN
3115	plasma6-wallpapers-blurredwallpaper-git	BLOCKED	NEEDS_RECIPE_DESIGN
3116	mkinitcpio-tailscale	BLOCKED	NEEDS_RECIPE_DESIGN
3117	discord-chat-exporter-plus-cli	BLOCKED	NEEDS_RECIPE_DESIGN
3118	wtq-bin	BLOCKED	NEEDS_RECIPE_DESIGN
3119	codename-goose	BLOCKED	NEEDS_RECIPE_DESIGN
3120	ttf-phosphor-icons	BLOCKED	NEEDS_RECIPE_DESIGN
3123	mkchromecast-git	BLOCKED	NEEDS_RECIPE_DESIGN
3125	bcachefs-dkms-git	BLOCKED	NEEDS_RECIPE_DESIGN
3126	hererocks	BLOCKED	NEEDS_RECIPE_DESIGN
3127	bgb	BLOCKED	NEEDS_RECIPE_DESIGN
3128	sxcs	BLOCKED	NEEDS_RECIPE_DESIGN
3129	vscodium-translucent	BLOCKED	NEEDS_RECIPE_DESIGN
3130	sdkman-bin	BLOCKED	NEEDS_RECIPE_DESIGN
3131	openbangla-keyboard-git	BLOCKED	NEEDS_RECIPE_DESIGN
3132	ibus-openbangla-git	BLOCKED	NEEDS_RECIPE_DESIGN
3133	fcitx5-openbangla-git	BLOCKED	NEEDS_RECIPE_DESIGN
3134	warpd	BLOCKED	NEEDS_RECIPE_DESIGN
3135	swhkd-bin	BLOCKED	NEEDS_RECIPE_DESIGN
3136	icons-in-terminal-git	BLOCKED	NEEDS_RECIPE_DESIGN
3137	linux-xanmod	BLOCKED	NEEDS_RECIPE_DESIGN
3138	linux-xanmod-headers	BLOCKED	NEEDS_RECIPE_DESIGN
3139	find-the-command	BLOCKED	NEEDS_RECIPE_DESIGN
3140	ttf-icomoon-feather	BLOCKED	NEEDS_RECIPE_DESIGN
3141	i2p-bin	BLOCKED	NEEDS_RECIPE_DESIGN
3142	openbangla-keyboard	BLOCKED	NEEDS_RECIPE_DESIGN
3143	videocut	BLOCKED	NEEDS_RECIPE_DESIGN
3144	python-discord	BLOCKED	NEEDS_RECIPE_DESIGN
3145	sabiql	BLOCKED	NEEDS_RECIPE_DESIGN
3146	otf-xkcd-font	BLOCKED	NEEDS_RECIPE_DESIGN
3147	ttf-xkcd-script-font	BLOCKED	NEEDS_RECIPE_DESIGN
3148	kuroko-git	BLOCKED	NEEDS_RECIPE_DESIGN
3149	river-bsp-layout	BLOCKED	NEEDS_RECIPE_DESIGN
3150	tori-bin	BLOCKED	NEEDS_RECIPE_DESIGN
3151	python38	BLOCKED	NEEDS_RECIPE_DESIGN
3152	rubix	BLOCKED	NEEDS_RECIPE_DESIGN
3153	rubiks_cube	BLOCKED	NEEDS_RECIPE_DESIGN
3154	wt-bin	BLOCKED	NEEDS_RECIPE_DESIGN
