selected=100
done=100
blocked=0
entry	package	target	status	note
7553	lazarus-gtk3-git	lazarus	DONE	
7554	lazarus-qt6-git	lazarus	DONE	
7757	audacious-gtk3	audacious	DONE	
7771	klassy-qt5-git	klassy	DONE	
8661	qbittorrent-cli	qbittorrent	DONE	
8909	kvantum-qt5-git	kvantum	DONE	
9538	autotrace	autotrace	DONE	
9539	fasttext	fasttext	DONE	
9540	monado	monado	DONE	
9541	st	st	DONE	
9542	redis	redis	DONE	
9543	gtkglext	gtkglext	DONE	
9544	zile	zile	DONE	
9545	fdroidserver	fdroidserver	DONE	
9546	gnucobol	gnucobol	DONE	
9547	python-pulsectl	python-pulsectl	DONE	
9548	gtk	gtk	DONE	
9549	glib	glib	DONE	
9550	sdl2	sdl2	DONE	
9551	pass-tomb	pass-tomb	DONE	
9552	gnunet	gnunet	DONE	
9553	xmenu	xmenu	DONE	
9554	proot	proot	DONE	
9555	smem	smem	DONE	
9556	cachefilesd	cachefilesd	DONE	
9557	mcrl2	mcrl2	DONE	
9558	python-pymc	python-pymc	DONE	
9559	rdiff-backup	rdiff-backup	DONE	
9560	drawpile	drawpile	DONE	
9561	freeimage	freeimage	DONE	
9562	python-pytest-runner	python-pytest-runner	DONE	
9563	pup	pup	DONE	
9564	friction	friction	DONE	
9565	dstask	dstask	DONE	
9566	fava	fava	DONE	
9567	python-angr	python-angr	DONE	
9568	greybird-gtk-theme	greybird-gtk-theme	DONE	
9569	pijul	pijul	DONE	
9570	mp3info	mp3info	DONE	
9571	python-m2crypto	python-m2crypto	DONE	
9572	perl-set-object	perl-set-object	DONE	
9573	xkb-switch	xkb-switch	DONE	
9574	protoc-gen-go	protoc-gen-go	DONE	
9575	imppg	imppg	DONE	
9576	python-flask-httpauth	python-flask-httpauth	DONE	
9577	feedgnuplot	feedgnuplot	DONE	
9578	pfetch	pfetch	DONE	
9579	poweralertd	poweralertd	DONE	
9580	faudio	faudio	DONE	
9581	xwayland-run	xwayland-run	DONE	
9582	gtypist	gtypist	DONE	
9583	clementine	clementine	DONE	
9584	libsepol	libsepol	DONE	
9585	kanata	kanata	DONE	
9586	mysql	mysql	DONE	
9587	vkquake	vkquake	DONE	
9588	abcde	abcde	DONE	
9589	iocaine	iocaine	DONE	
9590	python-nbt	python-nbt	DONE	
9591	instead	instead	DONE	
9592	clustershell	clustershell	DONE	
9593	pgloader	pgloader	DONE	
9594	qdmr	qdmr	DONE	
9595	stepmania	stepmania	DONE	
9596	iwgtk	iwgtk	DONE	
9597	gromit-mpx	gromit-mpx	DONE	
9598	tuxguitar	tuxguitar	DONE	
9599	satdump	satdump	DONE	
9600	python-click-default-group	python-click-default-group	DONE	
9601	coccinelle	coccinelle	DONE	
9602	python-async-timeout	python-async-timeout	DONE	
9603	grass	grass	DONE	
9604	gpredict	gpredict	DONE	
9605	flightgear	flightgear	DONE	
9606	openhmd	openhmd	DONE	
9607	wl-clipboard-x11	wl-clipboard-x11	DONE	
9608	python-stdnum	python-stdnum	DONE	
9609	gojq	gojq	DONE	
9610	ocaml-sqlite3	ocaml-sqlite3	DONE	
9611	ocaml-extlib	ocaml-extlib	DONE	
9612	ocaml-ounit	ocaml-ounit	DONE	
9613	ocaml-lwt	ocaml-lwt	DONE	
9614	ocaml-react	ocaml-react	DONE	
9615	ocaml-easy-format	ocaml-easy-format	DONE	
9616	ocaml-biniou	ocaml-biniou	DONE	
9617	ocaml-yojson	ocaml-yojson	DONE	
9618	ocaml-ppxlib	ocaml-ppxlib	DONE	
9619	wiggle	wiggle	DONE	
9620	vo-amrwbenc	vo-amrwbenc	DONE	
9621	catgirl	catgirl	DONE	
9622	python-pymsgbox	python-pymsgbox	DONE	
9623	meshoptimizer	meshoptimizer	DONE	
9624	xremap-kde	xremap-kde	DONE	
9625	xssproxy	xssproxy	DONE	
9626	camlidl	camlidl	DONE	
9627	ptouch-print	ptouch-print	DONE	
9628	ptpython	ptpython	DONE	
9629	leafpad	leafpad	DONE	
9630	dualsensectl	dualsensectl	DONE	
9631	steghide	steghide	DONE	
